Base	Cluster	Month	Day	meanPas	countPick	sumPass	Lat	Lon
156	B02512	2	9	4	3	6	16	41.0110297857639	-73.7595916551488
157	B02512	2	9	5	3	5	13	41.0110297857639	-73.7595916551488
158	B02512	2	9	6	2	7	16	41.0110297857639	-73.7595916551488
159	B02512	2	9	7	4	3	12	41.0110297857639	-73.7595916551488
160	B02512	2	9	8	2	3	6	41.0110297857639	-73.7595916551488
161	B02512	2	9	9	3	5	15	41.0110297857639	-73.7595916551488
162	B02512	2	9	10	2	1	2	41.0110297857639	-73.7595916551488
163	B02512	2	9	11	3	3	9	41.0110297857639	-73.7595916551488
164	B02512	2	9	12	3	7	20	41.0110297857639	-73.7595916551488
165	B02512	2	9	13	2	4	10	41.0110297857639	-73.7595916551488
166	B02512	2	9	14	3	4	11	41.0110297857639	-73.7595916551488
167	B02512	2	9	15	2	3	7	41.0110297857639	-73.7595916551488
168	B02512	2	9	16	2	5	12	41.0110297857639	-73.7595916551488
169	B02512	2	9	17	2	4	8	41.0110297857639	-73.7595916551488
170	B02512	2	9	18	2	5	10	41.0110297857639	-73.7595916551488
171	B02512	2	9	19	2	7	16	41.0110297857639	-73.7595916551488
172	B02512	2	9	20	3	6	20	41.0110297857639	-73.7595916551488
173	B02512	2	9	21	2	3	7	41.0110297857639	-73.7595916551488
174	B02512	2	9	22	3	3	8	41.0110297857639	-73.7595916551488
175	B02512	2	9	23	3	7	19	41.0110297857639	-73.7595916551488
176	B02512	2	9	24	2	1	2	41.0110297857639	-73.7595916551488
177	B02512	2	9	25	2	3	6	41.0110297857639	-73.7595916551488
178	B02512	2	9	26	3	3	9	41.0110297857639	-73.7595916551488
179	B02512	2	9	27	4	1	4	41.0110297857639	-73.7595916551488
180	B02512	2	9	28	2	1	2	41.0110297857639	-73.7595916551488
181	B02512	2	9	29	1	1	1	41.0110297857639	-73.7595916551488
182	B02512	3	7	1	2	66	160	40.7721338630882	-73.9497297760286
183	B02512	3	7	2	2	103	257	40.7721338630882	-73.9497297760286
184	B02512	3	7	3	2	85	209	40.7721338630882	-73.9497297760286
185	B02512	3	7	4	3	31	82	40.7721338630882	-73.9497297760286
186	B02512	3	7	5	2	25	59	40.7721338630882	-73.9497297760286
187	B02512	3	7	6	3	28	76	40.7721338630882	-73.9497297760286
188	B02512	3	7	7	3	64	170	40.7721338630882	-73.9497297760286
189	B02512	3	7	8	3	93	246	40.7721338630882	-73.9497297760286
190	B02512	3	7	9	2	91	217	40.7721338630882	-73.9497297760286
191	B02512	3	7	10	3	119	302	40.7721338630882	-73.9497297760286
192	B02512	3	7	11	2	103	254	40.7721338630882	-73.9497297760286
193	B02512	3	7	12	2	102	254	40.7721338630882	-73.9497297760286
194	B02512	3	7	13	3	51	143	40.7721338630882	-73.9497297760286
195	B02512	3	7	14	2	88	216	40.7721338630882	-73.9497297760286
196	B02512	3	7	15	3	109	283	40.7721338630882	-73.9497297760286
197	B02512	3	7	16	3	93	235	40.7721338630882	-73.9497297760286
198	B02512	3	7	17	2	89	220	40.7721338630882	-73.9497297760286
199	B02512	3	7	18	2	84	207	40.7721338630882	-73.9497297760286
200	B02512	3	7	19	3	72	188	40.7721338630882	-73.9497297760286
201	B02512	3	7	20	2	58	142	40.7721338630882	-73.9497297760286
202	B02512	3	7	21	2	64	156	40.7721338630882	-73.9497297760286
203	B02512	3	7	22	3	95	265	40.7721338630882	-73.9497297760286
204	B02512	3	7	23	3	77	193	40.7721338630882	-73.9497297760286
205	B02512	3	7	24	2	79	195	40.7721338630882	-73.9497297760286
206	B02512	3	7	25	3	96	250	40.7721338630882	-73.9497297760286
207	B02512	3	7	26	2	74	180	40.7721338630882	-73.9497297760286
208	B02512	3	7	27	3	47	119	40.7721338630882	-73.9497297760286
209	B02512	3	7	28	3	121	308	40.7721338630882	-73.9497297760286
210	B02512	3	7	29	2	99	241	40.7721338630882	-73.9497297760286
211	B02512	3	7	30	3	117	302	40.7721338630882	-73.9497297760286
212	B02512	3	7	31	2	83	201	40.7721338630882	-73.9497297760286
213	B02512	3	8	1	3	100	253	40.7721338630882	-73.9497297760286
214	B02512	3	8	2	3	75	189	40.7721338630882	-73.9497297760286
215	B02512	3	8	3	2	43	105	40.7721338630882	-73.9497297760286
216	B02512	3	8	4	3	99	254	40.7721338630882	-73.9497297760286
217	B02512	3	8	5	2	94	231	40.7721338630882	-73.9497297760286
218	B02512	3	8	6	2	105	253	40.7721338630882	-73.9497297760286
219	B02512	3	8	7	3	94	237	40.7721338630882	-73.9497297760286
220	B02512	3	8	8	3	87	219	40.7721338630882	-73.9497297760286
221	B02512	3	8	9	2	69	172	40.7721338630882	-73.9497297760286
222	B02512	3	8	10	3	31	81	40.7721338630882	-73.9497297760286
223	B02512	3	8	11	2	78	190	40.7721338630882	-73.9497297760286
224	B02512	3	8	12	2	98	244	40.7721338630882	-73.9497297760286
225	B02512	3	8	13	3	96	255	40.7721338630882	-73.9497297760286
226	B02512	3	8	14	3	79	198	40.7721338630882	-73.9497297760286
227	B02512	3	8	15	3	64	163	40.7721338630882	-73.9497297760286
228	B02512	3	8	16	3	56	141	40.7721338630882	-73.9497297760286
229	B02512	3	8	17	3	38	104	40.7721338630882	-73.9497297760286
230	B02512	3	8	18	2	61	143	40.7721338630882	-73.9497297760286
231	B02512	3	8	19	2	88	212	40.7721338630882	-73.9497297760286
232	B02512	3	8	20	2	88	204	40.7721338630882	-73.9497297760286
233	B02512	3	8	21	2	87	199	40.7721338630882	-73.9497297760286
234	B02512	3	8	22	2	55	134	40.7721338630882	-73.9497297760286
235	B02512	3	8	23	2	64	151	40.7721338630882	-73.9497297760286
236	B02512	3	8	24	2	49	120	40.7721338630882	-73.9497297760286
237	B02512	3	8	25	3	64	168	40.7721338630882	-73.9497297760286
238	B02512	3	8	26	2	71	172	40.7721338630882	-73.9497297760286
239	B02512	3	8	27	2	77	187	40.7721338630882	-73.9497297760286
240	B02512	3	8	28	2	60	136	40.7721338630882	-73.9497297760286
241	B02512	3	8	29	3	64	166	40.7721338630882	-73.9497297760286
242	B02512	3	8	30	3	29	81	40.7721338630882	-73.9497297760286
243	B02512	3	8	31	3	36	98	40.7721338630882	-73.9497297760286
244	B02512	3	9	1	2	34	81	40.7721338630882	-73.9497297760286
245	B02512	3	9	2	2	95	211	40.7721338630882	-73.9497297760286
246	B02512	3	9	3	2	77	175	40.7721338630882	-73.9497297760286
247	B02512	3	9	4	2	95	235	40.7721338630882	-73.9497297760286
248	B02512	3	9	5	2	103	257	40.7721338630882	-73.9497297760286
249	B02512	3	9	6	3	102	267	40.7721338630882	-73.9497297760286
250	B02512	3	9	7	3	85	222	40.7721338630882	-73.9497297760286
251	B02512	3	9	8	3	103	262	40.7721338630882	-73.9497297760286
252	B02512	3	9	9	2	92	219	40.7721338630882	-73.9497297760286
253	B02512	3	9	10	3	89	229	40.7721338630882	-73.9497297760286
254	B02512	3	9	11	3	113	295	40.7721338630882	-73.9497297760286
255	B02512	3	9	12	2	112	276	40.7721338630882	-73.9497297760286
256	B02512	3	9	13	3	123	317	40.7721338630882	-73.9497297760286
257	B02512	3	9	14	2	45	110	40.7721338630882	-73.9497297760286
258	B02512	3	9	15	3	82	210	40.7721338630882	-73.9497297760286
259	B02512	3	9	16	3	93	236	40.7721338630882	-73.9497297760286
260	B02512	3	9	17	2	84	202	40.7721338630882	-73.9497297760286
261	B02512	3	9	18	2	92	230	40.7721338630882	-73.9497297760286
262	B02512	3	9	19	3	93	245	40.7721338630882	-73.9497297760286
263	B02512	3	9	20	2	84	203	40.7721338630882	-73.9497297760286
264	B02512	3	9	21	2	65	162	40.7721338630882	-73.9497297760286
265	B02512	3	9	22	3	65	176	40.7721338630882	-73.9497297760286
266	B02512	3	9	23	2	72	176	40.7721338630882	-73.9497297760286
267	B02512	3	9	24	3	75	192	40.7721338630882	-73.9497297760286
268	B02512	3	9	25	2	106	257	40.7721338630882	-73.9497297760286
269	B02512	3	9	26	2	66	159	40.7721338630882	-73.9497297760286
270	B02512	3	9	27	3	78	209	40.7721338630882	-73.9497297760286
271	B02512	3	9	28	2	66	163	40.7721338630882	-73.9497297760286
272	B02512	3	9	29	2	90	218	40.7721338630882	-73.9497297760286
273	B02512	3	9	30	3	79	203	40.7721338630882	-73.9497297760286
274	B02512	4	7	1	3	223	578	40.7584227161805	-73.9741238844617
275	B02512	4	7	2	3	324	814	40.7584227161805	-73.9741238844617
276	B02512	4	7	3	2	176	437	40.7584227161805	-73.9741238844617
277	B02512	4	7	4	2	85	210	40.7584227161805	-73.9741238844617
278	B02512	4	7	5	3	68	176	40.7584227161805	-73.9741238844617
279	B02512	4	7	6	3	63	162	40.7584227161805	-73.9741238844617
280	B02512	4	7	7	2	194	478	40.7584227161805	-73.9741238844617
281	B02512	4	7	8	2	284	678	40.7584227161805	-73.9741238844617
282	B02512	4	7	9	2	290	718	40.7584227161805	-73.9741238844617
283	B02512	4	7	10	3	291	746	40.7584227161805	-73.9741238844617
284	B02512	4	7	11	3	220	551	40.7584227161805	-73.9741238844617
285	B02512	4	7	12	3	144	365	40.7584227161805	-73.9741238844617
286	B02512	4	7	13	2	133	315	40.7584227161805	-73.9741238844617
287	B02512	4	7	14	3	282	715	40.7584227161805	-73.9741238844617
288	B02512	4	7	15	3	389	984	40.7584227161805	-73.9741238844617
289	B02512	4	7	16	3	270	682	40.7584227161805	-73.9741238844617
290	B02512	4	7	17	3	301	760	40.7584227161805	-73.9741238844617
291	B02512	4	7	18	2	203	502	40.7584227161805	-73.9741238844617
292	B02512	4	7	19	2	124	300	40.7584227161805	-73.9741238844617
293	B02512	4	7	20	2	109	249	40.7584227161805	-73.9741238844617
294	B02512	4	7	21	3	202	507	40.7584227161805	-73.9741238844617
295	B02512	4	7	22	2	306	744	40.7584227161805	-73.9741238844617
296	B02512	4	7	23	3	371	937	40.7584227161805	-73.9741238844617
297	B02512	4	7	24	2	283	706	40.7584227161805	-73.9741238844617
298	B02512	4	7	25	3	218	556	40.7584227161805	-73.9741238844617
299	B02512	4	7	26	2	152	369	40.7584227161805	-73.9741238844617
300	B02512	4	7	27	3	100	257	40.7584227161805	-73.9741238844617
301	B02512	4	7	28	3	250	640	40.7584227161805	-73.9741238844617
302	B02512	4	7	29	3	301	763	40.7584227161805	-73.9741238844617
303	B02512	4	7	30	2	265	646	40.7584227161805	-73.9741238844617
304	B02512	4	7	31	2	282	691	40.7584227161805	-73.9741238844617
305	B02512	4	8	1	3	222	565	40.7584227161805	-73.9741238844617
306	B02512	4	8	2	2	136	333	40.7584227161805	-73.9741238844617
307	B02512	4	8	3	2	106	263	40.7584227161805	-73.9741238844617
308	B02512	4	8	4	3	238	608	40.7584227161805	-73.9741238844617
309	B02512	4	8	5	3	238	609	40.7584227161805	-73.9741238844617
310	B02512	4	8	6	3	285	735	40.7584227161805	-73.9741238844617
311	B02512	4	8	7	3	288	733	40.7584227161805	-73.9741238844617
312	B02512	4	8	8	3	190	503	40.7584227161805	-73.9741238844617
313	B02512	4	8	9	2	105	251	40.7584227161805	-73.9741238844617
314	B02512	4	8	10	2	101	236	40.7584227161805	-73.9741238844617
315	B02512	4	8	11	3	162	431	40.7584227161805	-73.9741238844617
316	B02512	4	8	12	3	324	816	40.7584227161805	-73.9741238844617
317	B02512	4	8	13	2	258	641	40.7584227161805	-73.9741238844617
318	B02512	4	8	14	3	219	555	40.7584227161805	-73.9741238844617
319	B02512	4	8	15	3	192	503	40.7584227161805	-73.9741238844617
320	B02512	4	8	16	3	101	263	40.7584227161805	-73.9741238844617
321	B02512	4	8	17	2	90	220	40.7584227161805	-73.9741238844617
322	B02512	4	8	18	3	154	392	40.7584227161805	-73.9741238844617
323	B02512	4	8	19	2	201	484	40.7584227161805	-73.9741238844617
324	B02512	4	8	20	3	227	571	40.7584227161805	-73.9741238844617
325	B02512	4	8	21	2	238	591	40.7584227161805	-73.9741238844617
326	B02512	4	8	22	3	165	433	40.7584227161805	-73.9741238844617
327	B02512	4	8	23	3	115	293	40.7584227161805	-73.9741238844617
328	B02512	4	8	24	2	92	215	40.7584227161805	-73.9741238844617
329	B02512	4	8	25	3	126	332	40.7584227161805	-73.9741238844617
330	B02512	4	8	26	2	156	386	40.7584227161805	-73.9741238844617
331	B02512	4	8	27	2	158	375	40.7584227161805	-73.9741238844617
332	B02512	4	8	28	2	148	365	40.7584227161805	-73.9741238844617
333	B02512	4	8	29	3	135	343	40.7584227161805	-73.9741238844617
334	B02512	4	8	30	3	90	226	40.7584227161805	-73.9741238844617
335	B02512	4	8	31	3	106	278	40.7584227161805	-73.9741238844617
336	B02512	4	9	1	3	82	222	40.7584227161805	-73.9741238844617
337	B02512	4	9	2	2	211	498	40.7584227161805	-73.9741238844617
338	B02512	4	9	3	2	231	573	40.7584227161805	-73.9741238844617
339	B02512	4	9	4	2	274	675	40.7584227161805	-73.9741238844617
340	B02512	4	9	5	3	307	788	40.7584227161805	-73.9741238844617
341	B02512	4	9	6	2	215	525	40.7584227161805	-73.9741238844617
342	B02512	4	9	7	2	165	406	40.7584227161805	-73.9741238844617
343	B02512	4	9	8	3	217	554	40.7584227161805	-73.9741238844617
344	B02512	4	9	9	2	241	584	40.7584227161805	-73.9741238844617
345	B02512	4	9	10	2	244	609	40.7584227161805	-73.9741238844617
346	B02512	4	9	11	2	258	630	40.7584227161805	-73.9741238844617
347	B02512	4	9	12	3	210	542	40.7584227161805	-73.9741238844617
348	B02512	4	9	13	2	183	443	40.7584227161805	-73.9741238844617
349	B02512	4	9	14	3	83	212	40.7584227161805	-73.9741238844617
350	B02512	4	9	15	2	203	498	40.7584227161805	-73.9741238844617
351	B02512	4	9	16	3	276	692	40.7584227161805	-73.9741238844617
352	B02512	4	9	17	2	265	654	40.7584227161805	-73.9741238844617
353	B02512	4	9	18	2	248	607	40.7584227161805	-73.9741238844617
354	B02512	4	9	19	2	224	556	40.7584227161805	-73.9741238844617
355	B02512	4	9	20	3	128	323	40.7584227161805	-73.9741238844617
356	B02512	4	9	21	3	80	208	40.7584227161805	-73.9741238844617
357	B02512	4	9	22	3	187	477	40.7584227161805	-73.9741238844617
358	B02512	4	9	23	3	167	419	40.7584227161805	-73.9741238844617
359	B02512	4	9	24	3	163	408	40.7584227161805	-73.9741238844617
360	B02512	4	9	25	3	165	420	40.7584227161805	-73.9741238844617
361	B02512	4	9	26	3	149	397	40.7584227161805	-73.9741238844617
362	B02512	4	9	27	3	121	310	40.7584227161805	-73.9741238844617
363	B02512	4	9	28	2	80	198	40.7584227161805	-73.9741238844617
364	B02512	4	9	29	2	177	433	40.7584227161805	-73.9741238844617
365	B02512	4	9	30	2	186	463	40.7584227161805	-73.9741238844617
366	B02512	5	7	1	3	1	3	40.5951416696599	-73.9890927189701
367	B02512	5	7	4	2	12	26	40.5951416696599	-73.9890927189701
368	B02512	5	7	5	3	10	28	40.5951416696599	-73.9890927189701
369	B02512	5	7	6	2	6	15	40.5951416696599	-73.9890927189701
370	B02512	5	7	7	3	2	6	40.5951416696599	-73.9890927189701
371	B02512	5	7	8	2	2	5	40.5951416696599	-73.9890927189701
372	B02512	5	7	9	4	2	7	40.5951416696599	-73.9890927189701
373	B02512	5	7	10	2	3	7	40.5951416696599	-73.9890927189701
374	B02512	5	7	11	4	5	18	40.5951416696599	-73.9890927189701
375	B02512	5	7	12	3	20	53	40.5951416696599	-73.9890927189701
376	B02512	5	7	13	2	10	25	40.5951416696599	-73.9890927189701
377	B02512	5	7	14	2	8	15	40.5951416696599	-73.9890927189701
378	B02512	5	7	15	3	3	8	40.5951416696599	-73.9890927189701
379	B02512	5	7	16	2	3	7	40.5951416696599	-73.9890927189701
380	B02512	5	7	17	3	5	13	40.5951416696599	-73.9890927189701
381	B02512	5	7	18	3	11	29	40.5951416696599	-73.9890927189701
382	B02512	5	7	19	3	18	49	40.5951416696599	-73.9890927189701
383	B02512	5	7	20	3	6	19	40.5951416696599	-73.9890927189701
384	B02512	5	7	21	1	1	1	40.5951416696599	-73.9890927189701
385	B02512	5	7	22	2	4	6	40.5951416696599	-73.9890927189701
386	B02512	5	7	23	2	2	5	40.5951416696599	-73.9890927189701
387	B02512	5	7	24	2	2	5	40.5951416696599	-73.9890927189701
388	B02512	5	7	25	3	9	25	40.5951416696599	-73.9890927189701
